Winner,Loser,Win Difference,Best of,Date,Type
TS,NVT,1,5,2017-01-20 16:00,Regular Season
T8,NT,3,5,2017-01-20 18:30,Regular Season
SSS,TF,2,5,2017-01-21 16:00,Regular Season
GFE,BST,1,5,2017-01-21 18:30,Regular Season
T8,BST,2,5,2017-01-22 16:00,Regular Season
GFE,NVT,3,5,2017-01-22 18:30,Regular Season
TS,TF,1,5,2017-01-27 16:00,Regular Season
SSS,NT,2,5,2017-01-27 18:30,Regular Season
TS,BST,3,5,2017-01-28 16:00,Regular Season
NVT,NT,1,5,2017-01-28 18:30,Regular Season
TF,GFE,1,5,2017-01-29 16:00,Regular Season
T8,SSS,3,5,2017-01-29 18:30,Regular Season
BST,NT,3,5,2017-02-03 16:00,Regular Season
GFE,SSS,3,5,2017-02-03 18:30,Regular Season
TF,NVT,2,5,2017-02-04 16:00,Regular Season
TS,T8,1,5,2017-02-04 18:30,Regular Season
T8,GFE,1,5,2017-02-05 16:00,Regular Season
BST,TF,2,5,2017-02-05 20:30,Regular Season
TS,NT,3,5,2017-02-10 16:00,Regular Season
SSS,NVT,3,5,2017-02-10 18:30,Regular Season
BST,SSS,1,5,2017-02-11 16:00,Regular Season
T8,NVT,3,5,2017-02-11 18:30,Regular Season
GFE,TS,3,5,2017-02-12 16:00,Regular Season
NT,TF,2,5,2017-02-12 18:30,Regular Season
GFE,NT,3,5,2017-02-17 16:00,Regular Season
BST,NVT,1,5,2017-02-17 18:30,Regular Season
TS,SSS,3,5,2017-02-18 16:00,Regular Season
T8,TF,3,5,2017-02-18 17:30,Regular Season
GFE,T8,3,5,2017-04-14 16:40,Regular Season
NVT,BST,3,5,2017-04-14 18:30,Regular Season
SSS,TF,1,5,2017-04-15 16:00,Regular Season
TS,NT,3,5,2017-04-15 18:30,Regular Season
NT,NVT,2,5,2017-04-16 16:00,Regular Season
TS,T8,3,5,2017-04-16 19:30,Regular Season
